	mean	total	bio	tech	p.value	FDR
Ninj1	8.00669219758893	5.32798847106932	2.03616409796762	3.2918243731017	0.000334745477977468	0.0319383870426447
Fut8	8.28300040402387	4.75566216193461	2.02872387377874	2.72693828815587	3.53873865328443e-05	0.00488065638022298
Ctsb	8.410174680562	4.50457791817997	1.99181144634538	2.51276647183458	1.40237851342669e-05	0.00217057029911486
Canx	8.45787420806739	4.41274287596336	1.97281686697107	2.43992600899229	1.03099952416853e-05	0.00166308317364673
Zfand5	8.62972900244015	4.11709875338146	1.92132922737694	2.19576952600452	2.75975774518701e-06	0.000526622265622672
Rpn2	8.39094974733221	4.4165153171755	1.87324042818657	2.54327488898894	4.06361583420319e-05	0.00541310475475891
Hnrnpu	8.64564141557291	4.00854698169006	1.8342774112235	2.17426957046656	5.17362701012924e-06	0.000923956721167952
Matr3	8.39180332546509	4.3508860062873	1.80897974681098	2.54190625947631	6.43397993654513e-05	0.00814775822873397
Lsp1	8.53296270860048	4.08584797392264	1.75533237269226	2.33051560123038	2.97551992498766e-05	0.00422948903623246
Clk1	8.9138599512775	3.56494038848979	1.72648028280758	1.8384601056822	7.40863558873351e-07	0.000158772759617012
Pcna	8.23981014241372	4.49967085652898	1.69336105988707	2.80630979664191	0.000432919828887679	0.0396748237921406
Tspan3	8.61822741297658	3.84326668734357	1.63184244224468	2.21142424509889	3.96136498649086e-05	0.0053574576953221
Psma1	8.61328174251272	3.79203322430642	1.57384782456131	2.21818539974511	6.6912082475749e-05	0.00825270489763851
Sqstm1	8.59230222319263	3.8142060599375	1.56714068656165	2.24706537337585	8.34115754152498e-05	0.00968269371278691
Rab11a	8.8807310538548	3.39450699281929	1.51719550439824	1.87731148842106	1.03868080479014e-05	0.00166308317364673
Cct3	9.05606856121199	3.18887169861396	1.50925067283348	1.67962102578048	1.71031884687461e-06	0.000330899188013379
Fam107b	9.56925754612675	2.69362398712524	1.49047534112296	1.20314864600228	9.51620663520284e-10	3.89884583612869e-07
Ube2d3	9.67941464809705	2.49407462032409	1.37568602804478	1.11838859227931	1.16813150608405e-09	4.52001996659745e-07
Hsp90aa1	10.5910971148365	1.95966685109755	1.35887787042494	0.600788980672609	1.62293617590065e-21	2.2607500930296e-18
Idh3g	8.60179954664532	3.57122467051211	1.33727313610779	2.23395153440432	0.000469374934348602	0.0424570963342599
Xist	9.5397596996644	2.53991304119934	1.31309779542672	1.22681524577262	4.42234936458499e-08	1.16232691789941e-05
Plagl1	0.404933461180065	3.39313151774654	1.26242474140943	2.13070677633711	0.000520130741811909	0.046445007906666
Tsc22d1	9.06947539717094	2.84177891000331	1.17648666691824	1.66529224308507	7.07403845968168e-05	0.00863401278028019
Pcbp1	9.30806936501461	2.55687603194818	1.12902859911284	1.42784743283535	1.45624936686895e-05	0.00222918172313016
Rac1	9.39579964624165	2.45773710518336	1.10926120303868	1.34847590214468	7.83484065368479e-06	0.00131493169043168
Impdh2	9.04641525118159	2.68200828855124	0.992002541024931	1.69000574752631	0.000570221875043562	0.0499571743355775
Shisa5	9.89484699175752	1.95610214136758	0.987922742734674	0.968179398632907	1.31717965755069e-07	3.27648439815734e-05
H2-Q6	9.38840529181556	2.32747243674288	0.972463286844519	1.35500914989836	5.76134188769768e-05	0.00746722116051458
Hnrnph1	9.19578435679033	2.46430923453008	0.928771673058213	1.53553756147186	0.000422522557965691	0.0389784055129939
Tuba1b	9.43493093504605	2.1680264241724	0.853654506479909	1.31437191769249	0.000196034303661031	0.020687559469683
P2ry10	0.213977549249951	1.89570274674075	0.781112653208367	1.11459009353239	7.8432075372664e-05	0.00925897296560347
mt-Nd2	10.3435148806519	1.37486744627294	0.66169965693911	0.713167789333827	9.36284941563821e-07	0.000194663421432597
Ncl	9.98018952406993	1.50410157752212	0.590124234589482	0.913977342932638	0.000209542260670931	0.0216216569714524
Arhgdib	10.193066251897	1.3803279503844	0.589576676100899	0.790751274283501	3.43214556710903e-05	0.00478097877498288
mt-Rnr1	13.6895776935368	0.625796356943223	0.561719414290001	0.0640769426532218	2.16072428496222e-118	1.00329630965079e-114
8430408G22Rik	0.158559069936428	1.44397465475761	0.548464985843813	0.8955096689138	0.000371375708481745	0.0347198900614141
RP23-81C12.1	12.8791862297657	0.658715918478622	0.542788096729092	0.115927821749529	4.84409297906477e-55	1.68695537995931e-51
